level_code,activity_id,module_id,day_number,activity_type,prompt_text,subtopic_id,resource_urls
EM7,em7_m2_d13_curr2_main,em7_m2,13,curriculum_block,Re-engagement,em7_m2_s3,"{""block_position"": ""curriculum_30_second""}"
EM7,em7_m2_d13_curr2_paper,em7_m2,13,curriculum_block,Tracking Stocks,em7_m2_s3,"{""block_position"": ""curriculum_30_second"", ""format"": ""task_or_paper""}"
EM7,em7_m2_d13_curr3_main,em7_m2,13,curriculum_block,Online Game,em7_m2_s3,"{""block_position"": ""special_case_50""}"
EM7,em7_m2_d13_curr3_paper,em7_m2,13,curriculum_block,Integer Balls-student reflection to follow,em7_m2_s3,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m2_d14_welcome,em7_m2,14,welcome,Which One Doesn't Belong? Day 14,,{}
EM7,em7_m2_d14_wod,em7_m2,14,word_of_day,Thermometer,em7_m2_s4,{}
EM7,em7_m2_d14_nt,em7_m2,14,number_talk,20% of 50,,{}
EM7,em7_m2_d14_curr1_main,em7_m2,14,curriculum_block,Serp Lesson-Part 1,em7_m2_s4,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m2_d14_curr1_paper,em7_m2,14,curriculum_block,Seeing Sums Part 1,em7_m2_s4,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
EM7,em7_m2_d14_mt,em7_m2,14,math_talk,2 Truths and 1 Lie,em7_m2_s4,{}
EM7,em7_m2_d14_gm,em7_m2,14,growth_mindset,Growth Mindset / College Readiness / AI Lessons,,{}
EM7,em7_m2_d14_curr2_main,em7_m2,14,curriculum_block,Serp Lesson-Part 2,em7_m2_s4,"{""block_position"": ""curriculum_30_second""}"
EM7,em7_m2_d14_curr2_paper,em7_m2,14,curriculum_block,Seeing Sums Part 2,em7_m2_s4,"{""block_position"": ""curriculum_30_second"", ""format"": ""task_or_paper""}"
EM7,em7_m2_d14_curr3_main,em7_m2,14,curriculum_block,Scavenger Hunt,em7_m2_s4,"{""block_position"": ""special_case_50""}"
EM7,em7_m2_d14_curr3_paper,em7_m2,14,curriculum_block,Integers,em7_m2_s4,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m2_d15_welcome,em7_m2,15,welcome,Which One Doesn't Belong? Day 15,,{}
EM7,em7_m2_d15_wod,em7_m2,15,word_of_day,Natural Number,em7_m2_s5,{}
EM7,em7_m2_d15_nt,em7_m2,15,number_talk,30% of 50,,{}
EM7,em7_m2_d15_curr1_main,em7_m2,15,curriculum_block,FAL,em7_m2_s5,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m2_d15_curr1_paper,em7_m2,15,curriculum_block,Launch,em7_m2_s5,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
